"Sony Xperia Z1 è il nuovo top di gamma di Sony presentato a Berlino durante l'IFA 2013, che si caratterizza per una fotocamera davvero molto performante dal punto di vista hardware, ma che come vedremo in seguito ci ha lasciato un po' perplessi, a questo proposito abbiamo fatto un focus per analizzare le caratteristiche del comparto multimediale","confusion; "
"L'hardware di Sony Xperia Z1 è al top, per quanto riguarda gli smartphone usciti in questi mesi","n/c "
"Troviamo un processore Quad Core Qualcomm Snapdragon 800 da 2,2 GHz, 2 GB di Ram, una GPU Adreno 330, 16 GB di memoria interna espandibili grazie allo slot MicroSD fino ad ulteriori 64 GB","n/c "
"Il display è un Full HD da 5 pollici con tecnologia Trilumos, quindi con risoluzione di 1920 x 1080 pixel, e ovviamente la connettività è di tipo LTE","modern; "
"Ho montato win8 e devo dire che viaggia molto meglio di prima, sono molto soddisfatto","dynamic; "
"il nuovo computer della Dell mi ha deluso","n/c "
"MI aspettavo qualcosa di più","disappointment"
"Dell Inspiron 11z è un netbook ultraleggero, portatile e in grado di assicurare elevate prestazioni ma con un basso consumo energetico","n/c "
"Non so se avete presente l'estetica e le dimensioni, 25 cm di spessore","surprise"
"Processore Intel dual core, Schermo ampio e luminoso, Dimensioni e peso ridottissimeEpico, assolutamente epico","modern; "
"L'Acer Aspire One Happy è un netbook moderno, dalle dimensioni ridotte e disponibile in quattro colori vivaci, rosa, viola, verde e blu","positive-hope"
"Si tratta di un modello eco-compatibile in quanto progettato con tecnologie che rispettano l'ambiente e dotato di specifiche tecniche che ne assicurano un basso consumo energetico","n/c "
"Parlando delle caratteristiche tecniche, questo netbook è dotato di processore Intel Atom fino al modello N550 da 1,50 Ghz e 1 MB di cache L2, sistema operativo Windows 7 o Android, memoria RAM fino a 2 GB, hard disk fino a 250 GB, display LCD WSVGA da 10,1 pollici con retroilluminazione LED, lettore di schede di memoria, acceleratore grafico Intel GMA 3150, webcam da 1,3 megapixel, tecnologia Bluetooth 3,0, connettività Wi-Fi e supporto alla rete 3G opzionale","nature lover; "
"L’Acer Aspire 5745 è un notebook potente in grado di assicurare elevate prestazioni multimediali, con funzionalità all’avanguardia sia nel reparto audio che video","n/c "
"Quanto a specifiche tecniche, si basa sul processore Intel Core fino al modello i7-720QM, da 1,60 Ghz, su una RAM fino a 4 GB, su un hard disk SATA fino a 640 GB e sulla scheda grafica NVIDIA GeForce fino al modello GT 330M con 1024 MB di memoria condivisa","n/c "
"Il notebook dispone, inoltre, di un display LCD da 15,6 pollici con una risoluzione di 1366x768 pixel e con retroilluminazione LED, un masterizzatore DVD 8X, l’unità Blu-Ray, il lettore di schede di memoria, la webcam integrata, l'ingresso HDMI, la connettività Wi-Fi ed Ethernet e la tecnologia","n/c "
"questo cellulare fa schifo già di suo poi nn glo hanno messo più di dual touch fa proprio pena","n/c "
"Io lo sto usando per scrivere e crasha sempre poi ha troppa poca memoria e per 120€ credo ke sia un cesso dai diciamocelo","disgust"
"Altri cell a 120€ san fare di meglio","n/c "
"questo cellulare è stato una vera sorpresa, funziona benissimo","surprise"
"non credevo che questo cellulare fosse un prodotto così scadente","n/c "
"Mi ha deluso davvero","disappointment"
"Questo notebook è davvero eccezionale, l'ho acquistato da poco ma lo trovo fantastico","n/c "
"Veloce, potente, i giochi e i programmi di grafica girano alla grande","amusement"
"Lo schermo è luminosissimo, l'hard disk, come si può leggere dalla scheda, è molto ampio, tutte le varie funzioni vanno alla grande e non posso lamentarmi in nessun modo","n/c "
"Grande","n/c "
"Windows Vista del mio portatile non mi piace, Il peso è sicuramente superiore alla media","n/c "
"Il Dell Latitude E5500 è un notebook aziendale creato appositamente per semplificare il settore IT e ridurre i costi","n/c "
"Si tratta di un dispositivo robusto e affidabile in grado di offrire la massima flessibilità unita a prestazioni elevate","confidence"
"Quanto a specifiche, questo modello dispone di processore Intel Core Duo 2 fino al modello P8700 da 2,53 Ghz, sistema operativo Windows 7 o Vista, memoria RAM fino a 4 GB, hard disk SATA da 250 GB, display LCD WXGA antiriflesso da 15,4 pollici con una risoluzione massima di 1280x800 pixel, acceleratore grafico Intel GMA 4500MHD, masterizzatore DVD, connettività Wi-Fi, tecnologia Bluetooth e lettore di impronte digitaliL'HP Mini 110-3100 è un netbook piccolo e compatto, dal design accattivante e con l'innovativa finitura Imprint","n/c "
"Compagno ideale di viaggio, questo notebook dispone di un display LED HP WSVGA antiriflesso da 10,1 pollici e con una risoluzione di 1024x600 pixel, un processore Intel Atom N455 da 1,66 Ghz e 512 KB di cache L2, una memoria RAM da 1 GB espandibile, un hard disk da 250 GB, l'acceleratore grafico Intel GMA 3150 con 256 MB di memoria condivisa, il lettore di schede di memoria 2 in 1, la connettività Wi-Fi e LAN Ethernet e la webcam VGA con microfono integrato","n/c "
"HP G62-b00 è una serie di notebook composta da prodotti eleganti e in grado di assicurare la massima produttività anche durante gli spostamenti","n/c "
"Caratterizzati da un eccezionale rapporto tra tecnologia e stile, questi notebook sono provvisti di display LED ad alta definizione BrightView da 15,6 pollici e con una risoluzione di 1366x768 pixel, processore Intel Pentium P6100 oppure AMD Athlon II Dual Core, a seconda del modello, una memoria RAM da 4 GB espandibile, un hard disk da 320 GB, una scheda grafica ATI Mobility Radeon HD 5470 da 512MB, il masterizzatore Double Layer, il lettore di schede di memoria 5 in 1, la connettività Wi-Fi e LAN e la webcam integrata","n/c "
"L’HP Compaq Presario CQ56-100 è un notebook professionale di elevata qualità che combina perfettamente tecnologia e design e assicura all’utente la massima produttività e sicurezza","n/c "
"Per quanto concerne le specifiche tecniche, questo notebook dispone di display LED HP BrightView da 15,6 pollici e con una risoluzione di 1366x768 pixel, processore Intel Celeron T3500 da 2 Ghz e 1 MB di cache L2, memoria RAM da 3 GB, hard disk da 320 GB, acceleratore grafico Intel GMA 4500M da 1 GB, masterizzatore Double Layer, connettività Wi-Fi e webcam integrata","n/c "
"HP TouchSmart 300-1000 è un computer all-in-one dal design elegante e raffinato e ideale da appendere al muro oppure da sistemare su un tavolo","n/c "
"Si tratta di un dispositivo completo e unico, dotato di funzionalità avanzate ma, soprattutto, un display touchscreen da 20 pollici con tecnologia multi-touch","modern; "
"Le altre specifiche includono il processore AMD Athlon II X3 400e, una scheda grafica, un hard disk da 500 GB, una memoria RAM da 4 GB, il masterizzatore Double Layer, il lettore di schede di memoria 6 in 1, la connettività Wi-Fi e 6 porte USB","n/c "
"La serie HP Pavilion dv3-2000 è composta da notebook caratterizzata da un design eccezionale, forme eleganti, ottimo intrattenimento mobile e funzionalità avanzate","n/c "
"Disponibile nelle due finiture Espresso Imprint e Moolight Imprint, la serie monta un processore Intel Core Duo 2 fino al modello P8600, con 2,4 Ghz di frequenza e 3 MB di cache L2, una RAM di 4096 MB, un hard disk fino a 320 GB, il masterizzatore Super Multi Double Layer, il lettore di schede di memoria 5 in 1, una scheda grafica NVIDIA GeForce G 105M, la connettività Bluetooth, quella wireless, uno schermo WXGA da 13,3 pollici e una risoluzione di 1366x768 pixel, un telecomando, pulsanti dedicati all’intrattenimento e la webcam integrata","n/c "
"Ultima novità di questo produttore, l’HP ProBook 4700 appartiene a una serie di notebook dedicata esclusivamente a un’utenza business, grazie soprattutto a varie applicazioni aziendali particolarmente utili per l’accesso rapido alla posta e all’agenda e per una più facile gestione dei file","n/c "
"Interessante la tastiera con tasti in rilievo, per una più rapida pulizia ma anche per un utilizzo più comodo","n/c "
"Le specifiche tecniche includono un display LED retroilluminato da 17,3 pollici in formato 16:9, il processore Intel Core Duo 2, la tecnologia Bluetooth, la porta HDMI, la scheda grafica ATI Mobility Radeon HD 4330 e ampia connettività","n/c "
"L'HP Pavilion dv3-2200 è un notebook decisamente particolare in quanto integra il software HP TouchSmart, che permette di accedere ai contenuti multimediali semplicemente con il tocco delle dita","n/c "
"Quanto alle altre specifiche, questo notebook dispone di display LCD touchscreen da 13,3 pollici, processore Intel Core Duo 2 T6600, scheda grafica NVIDIA Geforce G105M con 512 MB di memoria dedicata, sistema operativo Windows 7, RAM da 4 GB, hard disk da 500 GB, masterizzatore Super Multi Double Layer, lettore di schede di memoria, connettività Wi-Fi, connettore HDMI, telecomando e webcam integrata","n/c "
"Ultima novità di questo produttore, l’HP ProBook 4700 appartiene a una serie di notebook dedicata esclusivamente a un’utenza business, grazie soprattutto a varie applicazioni aziendali particolarmente utili per l’accesso rapido alla posta e all’agenda e per una più facile gestione dei file","n/c "
"Interessante la tastiera con tasti in rilievo, per una più rapida pulizia ma anche per un utilizzo più comodo","n/c "
"Le specifiche tecniche includono un display LED retroilluminato da 17,3 pollici in formato 16:9, il processore Intel Core Duo 2, la tecnologia Bluetooth, la porta HDMI, la scheda grafica ATI Mobility Radeon HD 4330 e ampia connettività","n/c "
"HP TouchSmart 600-1000 è una serie di computer all-in-one da posizionare su un tavolo o appesi al muro dotati di finitura nera lucida con panelli laterali argentati e forme sottili","n/c "
"Le sue caratteristiche principali sono uno schermo 16:9 da 23 pollici, con risoluzione Full HD e completamente touchscreen, con tecnologia multi-touch, il processore Intel Core Duo 2, la scheda grafica NVIDIA GeForce 9400, un hard disk da 1 TB, una memoria RAM da 4 GB, il lettore Blu-Ray, il lettore di schede di memoria, la connettività Wi-Fi, ben 6 porte USB e il sintonizzatore digitale terrestre","n/c "
